TCGA-3C-AALI	TCGA-A2-A04Y	TCGA-A2-A0CW	TCGA-A2-A0D4	TCGA-A2-A0EY	TCGA-A2-A0SV	TCGA-A2-A0SW	TCGA-A2-A0T3	TCGA-A2-A0YG	TCGA-A2-A0YH	TCGA-A2-A0YT	TCGA-A2-A1FW	TCGA-A2-A1FX	TCGA-A2-A1G4	TCGA-A2-A25B	TCGA-A2-A25C	TCGA-A2-A25E	TCGA-A2-A4S3	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A7-A2KD	TCGA-A7-A6VX	TCGA-A8-A06N	TCGA-A8-A06R	TCGA-A8-A06X	TCGA-A8-A06Z	TCGA-A8-A075	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A07W	TCGA-A8-A081	TCGA-A8-A082	TCGA-A8-A08G	TCGA-A8-A08P	TCGA-A8-A095	TCGA-A8-A09C	TCGA-A8-A09I	TCGA-A8-A09M	TCGA-A8-A09R	TCGA-A8-A09W	TCGA-A8-A09Z	TCGA-AC-A2BM	TCGA-AN-A0AJ	TCGA-AN-A0AK	TCGA-AN-A0AM	TCGA-AN-A0FF	TCGA-AN-A0FY	TCGA-AO-A03N	TCGA-AO-A03O	TCGA-AO-A03P	TCGA-AO-A0J3	TCGA-AO-A0J7	TCGA-AO-A0JD	TCGA-AO-A0JM	TCGA-AO-A1KP	TCGA-AO-A1KS	TCGA-AO-A1KT	TCGA-AR-A0TQ	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TY	TCGA-AR-A0U2	TCGA-AR-A1AW	TCGA-AR-A24K	TCGA-AR-A24N	TCGA-AR-A24R	TCGA-AR-A24S	TCGA-AR-A24Z	TCGA-AR-A250	TCGA-AR-A2LK	TCGA-B6-A0IB	TCGA-B6-A0RL	TCGA-BH-A0AU	TCGA-BH-A0BF	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C3	TCGA-BH-A0C7	TCGA-BH-A0HU	TCGA-BH-A0HW	TCGA-BH-A0HY	TCGA-BH-A18L	TCGA-BH-A18U	TCGA-BH-A1F2	TCGA-BH-A1F8	TCGA-BH-A1FD	TCGA-BH-A1FJ	TCGA-BH-A1FM	TCGA-BH-A1FN	TCGA-BH-A202	TCGA-BH-A204	TCGA-BH-A209	TCGA-C8-A12M	TCGA-C8-A12U	TCGA-C8-A12W	TCGA-C8-A130	TCGA-C8-A1HG	TCGA-C8-A1HL	TCGA-C8-A1HM	TCGA-C8-A1HN	TCGA-C8-A26V	TCGA-C8-A26W	TCGA-C8-A274	TCGA-C8-A27A	TCGA-C8-A3M8	TCGA-C8-A8HQ	TCGA-D8-A13Y	TCGA-D8-A1J8	TCGA-D8-A1J9	TCGA-D8-A1JC	TCGA-D8-A1JD	TCGA-D8-A1JE	TCGA-D8-A1JI	TCGA-D8-A1JJ	TCGA-D8-A1JT	TCGA-D8-A1X5	TCGA-D8-A1X6	TCGA-D8-A1X7	TCGA-D8-A1XF	TCGA-D8-A1XL	TCGA-D8-A1XR	TCGA-D8-A1XZ	TCGA-D8-A1Y1	TCGA-D8-A1Y2	TCGA-D8-A1Y3	TCGA-D8-A27N	TCGA-D8-A27R	TCGA-D8-A27W	TCGA-E2-A109	TCGA-E2-A10C	TCGA-E2-A14O	TCGA-E2-A155	TCGA-E2-A15A	TCGA-E2-A15K	TCGA-E2-A15S	TCGA-E2-A15T	TCGA-E2-A1L7	TCGA-E2-A56Z	TCGA-E2-A9RU	TCGA-E9-A1NA	TCGA-E9-A1NF	TCGA-E9-A1NI	TCGA-E9-A1R4	TCGA-E9-A1R7	TCGA-E9-A1RB	TCGA-E9-A1RE	TCGA-E9-A1RG	TCGA-E9-A226	TCGA-E9-A228	TCGA-E9-A22A	TCGA-E9-A22D	TCGA-E9-A22E	TCGA-E9-A22H	TCGA-E9-A249	TCGA-E9-A2JS	TCGA-E9-A3HO	TCGA-E9-A54Y	TCGA-E9-A5UO	TCGA-EW-A1OX	TCGA-EW-A1OY	TCGA-EW-A1OZ	TCGA-EW-A1P0	TCGA-EW-A2FW	TCGA-GM-A2DO	TCGA-LL-A5YM	TCGA-S3-AA17	TCGA-Z7-A8R6
ATM	1	1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	1	1	1	-1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	0	0	1	0	-1	0	0	-1	0	0	0	-1	0	-1	0	0	0	0	-1	1	1	1	0	1	-1	-1	0	-1	0	0	1	0	1	0	0	-1	0	-1	-1	0	-1	0	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	-1	-1	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1	0	0	0	0	-1	0	0	1	-1	0	0	1	0	1	0	-1	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	1	0	1	0
BAK1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
BAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAX	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2	0	0	1	0	-1	-1	-1	0	-1	-1	-1	0	0	1	0	0	1	0	1	0	0	0	0	-1	-1	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	1	-1	0	0	1	1	-1	0	1	1	0	0	0	0	1	-1	-1	0	0	1	-1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	-1	-1	-1	0	0	0	-1	0	-1	-1	1	0	0	1	-1	-1	1	0	0	0	0	1	0	1	0	-1	0	0	0	0	-1	0	0	0	-1	1	0	1	1	0	0	-1	0	-1	1	0	0	0	1	0	1	1	0	1	1	-1	0	-1	0	0	0	-1	0	-1	0	1	-1	0	0	0	0	-1	1	0	1	1	0	-1	0	1	1	0	1	0
BCL2L1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2L11	0	0	0	0	-1	0	0	0	0	-1	0	0	1	0	0	0	0	0	1	0	0	1	0	-1	-1	0	-1	-1	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	1	1	0	-1	0	0	1	1	1	1	0	1	0	0	1	0	-1	0	1	0	-1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	-1	0	1	0	0	-1	0	1	-1	0	-1	0	0	0	0	-1	1	0	-1	0	-1	0	0	-1	1	0	0	1	0	-1	0	0	0	1	1	1	-1	0	0	1	1	1	0	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	-1	0	-1	0	0	0	-1	1	0	0	1	1	1
BECN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BID	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
BRAF	0	-1	0	1	-1	0	0	-1	0	1	-1	0	1	1	0	-1	0	0	1	0	0	0	1	-1	0	1	0	-1	0	0	0	1	1	-1	-1	0	0	1	0	-1	1	0	0	0	-1	0	0	-1	0	1	1	0	0	-1	-1	0	1	-1	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	1	0	1	-1	0	-1	-1	0	0	0	0	0	0	1	0	1	1	0	-1	0	0	0	0	0	-1	0	1	1	1	0	1	-1	1	0	0	1	-1	1	-1	0	-1	0	1	-1	1	0	-1	1	-1	-1	-1	0	-1	0	1	0	0	1	1	0	0	1	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	1	1
BRCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
CASP7	0	0	0	-1	-1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	-1	0	-1	1	-1	0	0	0	-1	0	0	-1	0	1	0	1	0	0	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	-1	0	-1	0	0	0	1	0	1	0	0	0	-1	0	0	0	0	1	0	-1	-1	0	1	0	1	0	1	0	0	1	0	1	-1	0	0	0	0	0	0	-1	1	1	1	0	0	-1	0	0	0	0	-1	0	1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	-1	0	-1	-1	0	0	0	-1	0	1	0	0	-1	0	0	1	0	0	0	0	0	-1	1	0	1	-1
CASP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
CAV1	-1	0	-1	1	-1	0	0	1	-1	-1	1	0	0	1	-1	0	1	0	-1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	-1	-1	-1	0	-1	1	0	-1	0	0	0	0	0	-1	0	0	-1	1	1	0	0	0	-1	0	0	0	1	0	1	1	0	-1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	-1	0	-1	0	0	0	-1	0	0	-1	0	0	1	0	-1	0	0	0	0	-1	-1	1	0	0	0	-1	-1	0	0	1	-1	1	0	1	1	-1	0	1	1	-1	1	0	-1	0	1	1	1	0	0	-1	-1	0	0	0	1	-1	0	0	0	-1	0	-1	1	0	0	0	1	0	0	0	0	1	0	0	-1	1	0	0
CCNB1	1	0	0	0	-1	1	0	-1	1	1	0	0	0	-1	1	-1	-1	0	0	0	0	1	-1	0	0	0	0	-1	1	1	0	0	0	0	-1	-1	1	1	0	1	0	-1	1	1	0	0	0	0	1	0	0	0	1	-1	-1	1	0	1	0	-1	1	-1	-1	0	-1	-1	-1	0	0	1	-1	0	-1	0	0	0	0	0	1	-1	-1	0	0	0	-1	0	1	-1	0	1	0	1	-1	0	0	0	0	1	1	1	0	-1	0	1	0	1	1	1	0	1	0	0	-1	1	0	0	0	-1	0	0	-1	-1	1	-1	1	1	0	0	0	-1	0	0	0	-1	0	0	1	0	1	0	0	0	-1	-1	1	-1	0	-1	-1	0	1	-1	0	0	-1	1	1	-1	-1	1	0	-1	1	0	0	0	1
